DEPARTAMENTO,CARGO,SUELDO BRUTO,MES,AÑO
DIRECCION DE OPERACIONES,DIGITADOR DEL DEPARTAMENTO DE DOCUMENTOS,14000,Mayo,2026
DIRECCION DE OPERACIONES,VETERINARIO K-9,35000,Mayo,2026
DIRECCION DE OPERACIONES,ARCHIVISTA,13500,Mayo,2026
DIRECCION DE OPERACIONES,ARCHIVISTA DEL DEPTO DE DOCUM. SEGUR,14000,Mayo,2026
DIRECCION DE OPERACIONES,RECEPCIONISTA C-4,15000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEG. AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEG. AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEG. AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,21500,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,21500,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,21500,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,14000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,14000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,14000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,25000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,25000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,15000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,14000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,30500,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,DIRECTOR DE LA ESCUELA DE SEGURIDAD,90000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,SUB-DIRECTOR ACADEMICO,70000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,SUB-DIRECTOR ADMINISTRATIVO,70000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,SUB-DIRECTOR DE SUPERVISION DEL CURSO DE INTRUCCION BASICA,70000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. DEPTO. ADMINISTRATIVA,35000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. DEPTO. DE EDUCACION VIRTUAL,40000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. DEPTO. PLANES Y PROGRAMAS,40000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. DIV. DE CAPACITACION AVSEC,30000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. DIV. DE REVISION Y ANALISI DE INTRUCCION,30000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. DIV. PROG.Y COORD CURSOS,30000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. ADMINISTRATIVA,15000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. ADMISION Y REGISTRO,23000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. DE ADMISION Y REGISTRO,23500,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. DE APOYO A LA INSTR,23500,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. DE CONTROL DE PROGRAMAS Y DOCUMENTOS DE SEGURIDAD,40000,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. DE ENLACE,20300,Mayo,2026
DIRECCION DE LA ESCUELA DE SEG. DE LA AV. CIV.,ENC. SECC. DE ESTADISTICAS DE CURSOS,23000,Mayo,2026
